0,Thor: Love and Thunder,Action,Adventure,Comedy
2,Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
3,Jurassic World Dominion,Action,Adventure,Sci-Fi
4,The Princess,Action,Drama,Fantasy
6,Everything Everywhere All at Once,Action,Adventure,Comedy
7,The Man from Toronto,Action,Adventure,Thriller
8,Independence Day,Action,Adventure,Sci-Fi
9,Spiderhead,Action,Crime,Drama
10,Lightyear,Animation,Action,Adventure
11,Rocketry: The Nambi Effect,Action,Biography,Drama
12,The Batman,Action,Crime,Drama
13,The Northman,Action,Adventure,Drama
14,The Unbearable Weight of Massive Talent,Action,Comedy,Crime
15,Thor: Ragnarok,Action,Adventure,Comedy
16,Spider-Man: No Way Home,Action,Adventure,Fantasy
17,Fantastic Beasts: The Secrets of Dumbledore,Action,Adventure,Fantasy
18,The Woman King,Action,Drama,History
19,The Lost City,Action,Adventure,Comedy
21,No Time to Die,Action,Adventure,Thriller
22,Morbius,Action,Adventure,Horror
25,Major,Action,Biography,Drama
26,Jurassic Park,Action,Adventure,Sci-Fi
27,Avatar: The Way of Water,Action,Adventure,Sci-Fi
28,Thor,Action,Adventure,Fantasy
30,Dune: Part One,Action,Adventure,Drama
31,Avengers: Endgame,Action,Adventure,Drama
32,Eternals,Action,Adventure,Fantasy
33,Hellboy,Action,Adventure,Fantasy
34,Wild Card,Action,Crime,Drama
35,Ambulance,Action,Crime,Drama
36,Star Wars,Action,Adventure,Fantasy
37,Sonic the Hedgehog 2,Action,Adventure,Comedy
38,Inception,Action,Adventure,Sci-Fi
39,The Dark Knight,Action,Crime,Drama
40,Free Guy,Action,Adventure,Comedy
41,Thor: The Dark World,Action,Adventure,Fantasy
43,DC League of Super-Pets,Animation,Action,Adventure
45,Independence Day: Resurgence,Action,Adventure,Sci-Fi
46,Interceptor,Action,Adventure,Drama
47,Jurassic World,Action,Adventure,Sci-Fi
48,Jurassic World: Fallen Kingdom,Action,Adventure,Sci-Fi
49,Black Adam,Action,Fantasy,Sci-Fi
0,Thor: Love and Thunder,Action,Adventure,Comedy
1,Elvis,Biography,Drama,Music
3,Minions: The Rise of Gru,Animation,Adventure,Comedy
5,Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
7,Jurassic World Dominion,Action,Adventure,Sci-Fi
8,Sing 2,Animation,Adventure,Comedy
9,The Princess,Action,Drama,Fantasy
11,Everything Everywhere All at Once,Action,Adventure,Comedy
12,The Man from Toronto,Action,Adventure,Thriller
13,The Bad Guys,Animation,Adventure,Comedy
14,Independence Day,Action,Adventure,Sci-Fi
15,Barbie,Adventure,Comedy,Fantasy
17,Hustle,Comedy,Drama,Sport
18,Last Night in Soho,Drama,Horror,Mystery
19,Spiderhead,Action,Crime,Drama
20,Lightyear,Animation,Action,Adventure
21,Rocketry: The Nambi Effect,Action,Biography,Drama
22,The Batman,Action,Crime,Drama
23,NOPE,Horror,Mystery,Sci-Fi
24,The Northman,Action,Adventure,Drama
25,Where the Crawdads Sing,Drama,Mystery,Thriller
26,House of Gucci,Biography,Crime,Drama
27,The Unbearable Weight of Massive Talent,Action,Comedy,Crime
28,Thor: Ragnarok,Action,Adventure,Comedy
29,The Sea Beast,Animation,Adventure,Comedy
30,Terror on the Prairie,Drama,Thriller,Western
32,Spider-Man: No Way Home,Action,Adventure,Fantasy
34,Fantastic Beasts: The Secrets of Dumbledore,Action,Adventure,Fantasy
35,Men,Drama,Fantasy,Horror
36,The Woman King,Action,Drama,History
38,The Lost City,Action,Adventure,Comedy
40,Crimes of the Future,Drama,Horror,Sci-Fi
41,No Time to Die,Action,Adventure,Thriller
42,Morbius,Action,Adventure,Horror
46,Major,Action,Biography,Drama
49,Hocus Pocus 2,Comedy,Family,Fantasy
0,Thor: Love and Thunder,Action,Adventure,Comedy
1,Elvis,Biography,Drama,Music
3,Minions: The Rise of Gru,Animation,Adventure,Comedy
5,Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
7,Jurassic World Dominion,Action,Adventure,Sci-Fi
8,Sing 2,Animation,Adventure,Comedy
9,The Princess,Action,Drama,Fantasy
11,Everything Everywhere All at Once,Action,Adventure,Comedy
12,The Man from Toronto,Action,Adventure,Thriller
13,The Bad Guys,Animation,Adventure,Comedy
14,Independence Day,Action,Adventure,Sci-Fi
15,Barbie,Adventure,Comedy,Fantasy
17,Hustle,Comedy,Drama,Sport
18,Last Night in Soho,Drama,Horror,Mystery
19,Spiderhead,Action,Crime,Drama
20,Lightyear,Animation,Action,Adventure
21,Rocketry: The Nambi Effect,Action,Biography,Drama
22,The Batman,Action,Crime,Drama
23,NOPE,Horror,Mystery,Sci-Fi
24,The Northman,Action,Adventure,Drama
25,Where the Crawdads Sing,Drama,Mystery,Thriller
26,House of Gucci,Biography,Crime,Drama
27,The Unbearable Weight of Massive Talent,Action,Comedy,Crime
28,Thor: Ragnarok,Action,Adventure,Comedy
29,The Sea Beast,Animation,Adventure,Comedy
30,Terror on the Prairie,Drama,Thriller,Western
32,Spider-Man: No Way Home,Action,Adventure,Fantasy
34,Fantastic Beasts: The Secrets of Dumbledore,Action,Adventure,Fantasy
35,Men,Drama,Fantasy,Horror
36,The Woman King,Action,Drama,History
38,The Lost City,Action,Adventure,Comedy
40,Crimes of the Future,Drama,Horror,Sci-Fi
41,No Time to Die,Action,Adventure,Thriller
42,Morbius,Action,Adventure,Horror
46,Major,Action,Biography,Drama
49,Hocus Pocus 2,Comedy,Family,Fantasy
0,Thor: Love and Thunder,Action,Adventure,Comedy
2,Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
3,Jurassic World Dominion,Action,Adventure,Sci-Fi
4,The Princess,Action,Drama,Fantasy
6,Everything Everywhere All at Once,Action,Adventure,Comedy
7,The Man from Toronto,Action,Adventure,Thriller
8,Independence Day,Action,Adventure,Sci-Fi
9,Spiderhead,Action,Crime,Drama
10,Lightyear,Animation,Action,Adventure
11,Rocketry: The Nambi Effect,Action,Biography,Drama
12,The Batman,Action,Crime,Drama
13,The Northman,Action,Adventure,Drama
14,The Unbearable Weight of Massive Talent,Action,Comedy,Crime
15,Thor: Ragnarok,Action,Adventure,Comedy
16,Spider-Man: No Way Home,Action,Adventure,Fantasy
17,Fantastic Beasts: The Secrets of Dumbledore,Action,Adventure,Fantasy
18,The Woman King,Action,Drama,History
19,The Lost City,Action,Adventure,Comedy
21,No Time to Die,Action,Adventure,Thriller
22,Morbius,Action,Adventure,Horror
25,Major,Action,Biography,Drama
26,Jurassic Park,Action,Adventure,Sci-Fi
27,Avatar: The Way of Water,Action,Adventure,Sci-Fi
28,Thor,Action,Adventure,Fantasy
30,Dune: Part One,Action,Adventure,Drama
31,Avengers: Endgame,Action,Adventure,Drama
32,Eternals,Action,Adventure,Fantasy
33,Hellboy,Action,Adventure,Fantasy
34,Wild Card,Action,Crime,Drama
35,Ambulance,Action,Crime,Drama
36,Star Wars,Action,Adventure,Fantasy
37,Sonic the Hedgehog 2,Action,Adventure,Comedy
38,Inception,Action,Adventure,Sci-Fi
39,The Dark Knight,Action,Crime,Drama
40,Free Guy,Action,Adventure,Comedy
41,Thor: The Dark World,Action,Adventure,Fantasy
43,DC League of Super-Pets,Animation,Action,Adventure
45,Independence Day: Resurgence,Action,Adventure,Sci-Fi
46,Interceptor,Action,Adventure,Drama
47,Jurassic World,Action,Adventure,Sci-Fi
48,Jurassic World: Fallen Kingdom,Action,Adventure,Sci-Fi
49,Black Adam,Action,Fantasy,Sci-Fi
0,Thor: Love and Thunder,Action,Adventure,Comedy
1,Minions: The Rise of Gru,Animation,Adventure,Comedy
2,Sing 2,Animation,Adventure,Comedy
3,Everything Everywhere All at Once,Action,Adventure,Comedy
4,The Bad Guys,Animation,Adventure,Comedy
5,Barbie,Adventure,Comedy,Fantasy
6,Hustle,Comedy,Drama,Sport
7,The Unbearable Weight of Massive Talent,Action,Comedy,Crime
8,Thor: Ragnarok,Action,Adventure,Comedy
9,The Sea Beast,Animation,Adventure,Comedy
12,The Lost City,Action,Adventure,Comedy
15,Hocus Pocus 2,Comedy,Family,Fantasy
16,Father of the Bride,Comedy,Drama,Romance
18,Minions,Animation,Adventure,Comedy
19,Ghostbusters: Afterlife,Adventure,Comedy,Fantasy
21,Jug Jugg Jeeyo,Comedy,Drama,Family
22,The Wolf of Wall Street,Biography,Comedy,Crime
23,Despicable Me,Animation,Adventure,Comedy
25,Sonic the Hedgehog 2,Action,Adventure,Comedy
26,Jerry & Marge Go Large,Biography,Comedy,Drama
27,Love & Gelato,Comedy,Drama,Romance
28,The Goonies,Adventure,Comedy,Family
29,"Hello, Goodbye and Everything in Between",Comedy,Drama,Romance
30,Free Guy,Action,Adventure,Comedy
32,Mr. Malcolm's List,Comedy,Drama,Romance
34,DC League of Super-Pets,Animation,Action,Adventure
36,Licorice Pizza,Comedy,Drama,Romance
38,Verdens verste menneske,Comedy,Drama,Romance
39,Encanto,Animation,Comedy,Family
40,Sing,Animation,Comedy,Family
41,The Sandlot,Comedy,Drama,Family
43,The Gentlemen,Action,Comedy,Crime
44,Hocus Pocus,Comedy,Family,Fantasy
45,CODA,Comedy,Drama,Music
46,Marry Me,Comedy,Music,Romance
47,Back to the Future,Adventure,Comedy,Sci-Fi
48,Elf,Adventure,Comedy,Family
49,Don't Look Up,Comedy,Drama,Sci-Fi
0,Minions: The Rise of Gru,Animation,Adventure,Comedy
1,The Bad Guys,Animation,Adventure,Comedy
3,Spiderhead,Action,Crime,Drama
4,The Batman,Action,Crime,Drama
5,House of Gucci,Biography,Crime,Drama
6,The Unbearable Weight of Massive Talent,Action,Comedy,Crime
7,Death on the Nile,Crime,Drama,Mystery
8,Minions,Animation,Adventure,Comedy
9,Goodfellas,Biography,Crime,Drama
10,Wild Card,Action,Crime,Drama
11,The Wolf of Wall Street,Biography,Comedy,Crime
12,Ambulance,Action,Crime,Drama
13,Despicable Me,Animation,Adventure,Comedy
14,The Dark Knight,Action,Crime,Drama
15,The Talented Mr. Ripley,Crime,Drama,Thriller
17,DC League of Super-Pets,Animation,Action,Adventure
18,Killers of the Flower Moon,Crime,Drama,History
19,A Call to Spy,Biography,Crime,Drama
20,American Psycho,Crime,Drama,Horror
21,Se7en,Crime,Drama,Mystery
23,Thief,Action,Crime,Drama
24,The Gentlemen,Action,Comedy,Crime
25,American Made,Action,Comedy,Crime
26,Legend,Biography,Crime,Drama
27,Enola Holmes,Action,Adventure,Crime
28,Spree,Action,Comedy,Crime
29,Heat,Action,Crime,Drama
30,Knives Out,Comedy,Crime,Drama
32,Nightmare Alley,Crime,Drama,Thriller
33,The Departed,Crime,Drama,Thriller
35,L̩on,Action,Crime,Drama
36,The Outfit,Crime,Drama,Mystery
37,Catch Me If You Can,Biography,Crime,Drama
39,John Wick,Action,Crime,Thriller
40,Joker,Crime,Drama,Thriller
41,West Side Story,Crime,Drama,Musical
42,The Card Counter,Crime,Drama,Thriller
43,Despicable Me 3,Animation,Adventure,Comedy
44,Wrath of Man,Action,Crime,Thriller
46,Shazam! Fury of the Gods,Action,Adventure,Comedy
47,Despicable Me 2,Animation,Adventure,Comedy
48,Nobody,Action,Crime,Drama
49,The Grand Budapest Hotel,Adventure,Comedy,Crime
